msg_id,guild,channel,author,is_bot,msg_type,created_at_vn,reply_to,mentions_bot,n_attachments,n_chars,content,_intent_tags,_is_question
M58687,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 07:35,,False,0,53,Câu hỏi này để hôm ws chủ nhật trao đổi luon nhé [HV],uncertain,False
M47011,K4-L2-3,channel_06,D8938,False,message,2026-09-12 09:39,,False,1,414,"@everyone

Để BTC và các Lab Coach thuận tiện trong việc nhận diện, quản lý học viên và theo dõi điểm cộng, mọi người vui lòng đổi tên theo cú pháp:

  Mã Nhóm - Họ và tên - 5 số cuối mã sinh viên

Ví dụ: T001 - [HV]

Mọi người kiểm tra và đổi lại tên giúp mình nhé. Việc thống nhất cách đặt tên sẽ giúp BTC và các Lab Coach dễ dàng theo dõi thông tin và ghi nhận điểm cộng của mọi người hơn.

Cảm ơn mọi người! ❤️",logistics;academic;mixed,False
M12505,K4-L2-3,channel_07,D8938,False,message,2026-09-12 09:40,,False,1,414,"@everyone

Để BTC và các Lab Coach thuận tiện trong việc nhận diện, quản lý học viên và theo dõi điểm cộng, mọi người vui lòng đổi tên theo cú pháp:

  Mã Nhóm - Họ và tên - 5 số cuối mã sinh viên

Ví dụ: T001 - [HV]

Mọi người kiểm tra và đổi lại tên giúp mình nhé. Việc thống nhất cách đặt tên sẽ giúp BTC và các Lab Coach dễ dàng theo dõi thông tin và ghi nhận điểm cộng của mọi người hơn.

Cảm ơn mọi người! ❤️",logistics;academic;mixed,False
M03059,K4-L2-3,channel_02,D4964,False,message,2026-09-12 10:21,,False,0,74,Em đang cần hỗ trợ về vấn đề giấy tờ gấp thì em liên lạc đến bộ phận nào ạ,uncertain,False
M81088,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 10:22,M03059,False,0,25,"Viết mail cho trường nhé,",uncertain,False
M84888,K4-L2-3,channel_02,D4964,False,reply,2026-09-12 10:24,M81088,False,0,30,Em mail đến địa chỉ nào được ạ,uncertain,False
M80709,K4-L2-3,channel_02,D2443,False,message,2026-09-12 10:31,,False,0,30,AIthucchien@vinuni.edu.vn bn ạ,uncertain,False
M55038,K4-L2-3,channel_02,D4964,False,reply,2026-09-12 10:36,M80709,False,0,14,Ok mình cảm ơn,greeting,False
M63574,K4-L2-3,channel_02,D3082,False,message,2026-09-12 11:06,,False,0,120,"A ơi, cho e hỏi, buổi workshop chủ nhật ngày mai thì có tính vào số buổi nghỉ ko ạ? Giả dụ sáng mai e có việc thì sao ạ?",uncertain,True
M43132,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 11:08,M63574,False,0,170,Build phase sẽ không tính vào hoạt động học trên lớp các buổi nghỉ đâu nhé. Với lại nếu sắp xếp được thì nên tham gia buổi đầu tiên vì có thắc mắc gì có thể trao đỏi luôn,logistics,False
M11917,K4-L2-3,channel_02,D3082,False,reply,2026-09-12 11:09,M43132,False,0,14,Dạ e cảm ơn ạ!,greeting,False
M17083,K4-L2-3,channel_02,D3694,False,message,2026-09-12 11:09,,False,0,83,Không có câu hỏi thì lắng nghe các quy định và nội dung thôi. Đâu có bắt buột hỏi 😅,uncertain,False
M49586,K4-L2-3,channel_02,D1224,False,reply,2026-09-12 11:09,M43132,False,0,46,"Kiểu em ko có câu hỏi nào hỏi , có ổn ko ạ :))",uncertain,False
M85072,K4-L2-3,channel_02,D1224,False,reply,2026-09-12 11:10,M17083,False,0,12,ok anh zai 😅,greeting,False
M69081,K4-L2-3,channel_02,D2313,False,message,2026-09-12 12:04,,False,0,23,có điểm danh ws không ạ,logistics,False
M56857,K4-L2-3,channel_02,D7482,False,message,2026-09-12 12:39,,False,0,83,T3 tuần sau lecture sáng em có việc muốn xin vào trễ 30p thì gửi mail cho a [HV] ạ?,uncertain,True
M73605,K4-L2-3,channel_02,D1253,False,message,2026-09-12 12:39,,False,0,127,"Anh ơi cho e hỏi chút ạ. Vì buổi sáng học 13h mới tan, mà chiều em có lịch bận nên em có thể xin tan sớm vào buổi sáng không ạ?",logistics,True
M17046,K4-L2-3,channel_02,D7688,False,reply,2026-09-12 13:08,M56857,False,0,69,"vào trước 30p là được nhé, b liên hệ labcoach hôm đó để điểm danh sau",logistics;academic;mixed,False
M75756,K4-L2-3,channel_02,D7688,False,reply,2026-09-12 13:08,M73605,False,0,37,bạn xin labcoach của buổi hôm đấy nha,academic,False
M00318,K4-L2-3,channel_02,D1253,False,reply,2026-09-12 13:09,M75756,False,0,10,E cảm ơn ạ,greeting,False
M61696,K4-L2-3,channel_02,D7482,False,reply,2026-09-12 13:14,M17046,False,0,14,ok mình cảm ơn,greeting,False
M07888,K4-L2-3,channel_02,D9148,False,reply,2026-09-12 13:32,M58687,False,0,154,với cả lv 2 này em cũng muốn hỏi thêm là em muốn theo hướng cv for predictive maintenance được không thay vì chỉ có detect vật thể trong cabin hay tự hành,uncertain,False
M34631,K4-L2-3,channel_02,D3694,False,reply,2026-09-12 13:54,M07888,False,0,106,Về task thì cũng sẽ nhiều task đa dạng về data. Cũng open cho innovative. Còn cụ thể hẹn sáng mai nhé [HV],uncertain,False
